Dataset,FirstStage,Reranker,k,FirstStage_nDCG10,Reranked_nDCG10,Delta,n_queries
NFCorpus,BGE-small,BGE-reranker-base,10,0.3393,,,323
NFCorpus,BGE-small,BGE-reranker-base,20,0.3393,,,323
NFCorpus,BGE-small,BGE-reranker-base,50,0.3393,,,323
NFCorpus,BGE-small,BGE-reranker-base,100,0.3393,0.3007,-0.0386,323
NFCorpus,BM25,BGE-reranker-base,10,0.3076,,,323
NFCorpus,BM25,BGE-reranker-base,20,0.3076,,,323
NFCorpus,BM25,BGE-reranker-base,50,0.3076,,,323
NFCorpus,BM25,BGE-reranker-base,100,0.3076,0.3082,0.0006,323
BioASQ-subset,BM25,BGE-reranker-base,10,0.7544,,,500
BioASQ-subset,BM25,BGE-reranker-base,20,0.7544,,,500
BioASQ-subset,BM25,BGE-reranker-base,50,0.7544,,,500
BioASQ-subset,BM25,BGE-reranker-base,100,0.7544,0.7080,-0.0464,500
TREC-COVID,E5-small,BGE-reranker-base,10,0.7238,,,50
TREC-COVID,E5-small,BGE-reranker-base,20,0.7238,,,50
TREC-COVID,E5-small,BGE-reranker-base,50,0.7238,,,50
TREC-COVID,E5-small,BGE-reranker-base,100,0.7238,0.7540,0.0302,50
SciFact,BGE-small,BGE-reranker-base,10,0.7200,,,300
SciFact,BGE-small,BGE-reranker-base,20,0.7200,,,300
SciFact,BGE-small,BGE-reranker-base,50,0.7200,,,300
SciFact,BGE-small,BGE-reranker-base,100,0.7200,0.7091,-0.0109,300
ArguAna,BGE-small,BGE-reranker-base,10,0.4287,,,1406
ArguAna,BGE-small,BGE-reranker-base,20,0.4287,,,1406
ArguAna,BGE-small,BGE-reranker-base,50,0.4287,,,1406
ArguAna,BGE-small,BGE-reranker-base,100,0.4287,0.1860,-0.2428,1406
